raceday,locality,raceName,deelnemer,driver,constructor,driverpunten,turbopunten,inhaalpunten,totaalpunten,positie,afwijking_positie,afwijking_positie_real,turbodriver,inhaalkoning
1,Sakhir,Bahrain Grand Prix,Robbert,Ocon,Alpine,5,0,0,5,7,5,5,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Robbert,Magnussen,Haas,5,0,0,5,5,5,5,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Robbert,Alonso,Alpine,5,0,0,5,9,5,5,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Robbert,Perez,Red Bull,0,0,0,0,18,13,-13,TRUE,FALSE
1,Sakhir,Bahrain Grand Prix,Robbert,Verstappen,Red Bull,0,0,0,0,19,NA,NA,FALSE,TRUE
1,Sakhir,Bahrain Grand Prix,Dylan,Ocon,Alpine,7,0,0,7,7,3,3,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Dylan,Magnussen,Haas,0,0,0,0,5,12,12,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Dylan,Alonso,Alpine,7,0,0,7,9,3,3,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Dylan,Perez,Red Bull,0,0,0,0,18,14,-14,TRUE,FALSE
1,Sakhir,Bahrain Grand Prix,Dylan,Sainz,Ferrari,0,0,1,1,2,NA,NA,FALSE,TRUE
1,Sakhir,Bahrain Grand Prix,Bram,Ocon,Alpine,6,6,0,12,7,4,4,TRUE,FALSE
1,Sakhir,Bahrain Grand Prix,Bram,Magnussen,Haas,5,0,0,5,5,5,5,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Bram,Alonso,Alpine,10,0,0,10,9,0,0,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Bram,Perez,Red Bull,0,0,0,0,18,12,-12,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Bram,Zhou,Alfa Romeo,0,0,7,7,10,NA,NA,FALSE,TRUE
1,Sakhir,Bahrain Grand Prix,Ester,Ocon,Alpine,7,0,0,7,7,3,3,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Ester,Magnussen,Haas,0,0,0,0,5,11,11,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Ester,Alonso,Alpine,9,0,0,9,9,1,-1,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Ester,Perez,Red Bull,0,0,0,0,18,12,-12,TRUE,FALSE
1,Sakhir,Bahrain Grand Prix,Ester,Hulkenberg,Aston Martin,0,0,0,0,17,NA,NA,FALSE,TRUE
1,Sakhir,Bahrain Grand Prix,Eva,Ocon,Alpine,5,0,0,5,7,5,5,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Eva,Magnussen,Haas,0,0,0,0,5,13,13,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Eva,Alonso,Alpine,8,0,0,8,9,2,-2,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Eva,Perez,Red Bull,0,0,0,0,18,13,-13,TRUE,FALSE
1,Sakhir,Bahrain Grand Prix,Eva,Ricciardo,McLaren,0,0,5,5,14,NA,NA,FALSE,TRUE
1,Sakhir,Bahrain Grand Prix,Mattijs,Ocon,Alpine,10,0,0,10,7,0,0,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Mattijs,Magnussen,Haas,0,0,0,0,5,13,13,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Mattijs,Alonso,Alpine,7,0,0,7,9,3,-3,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Mattijs,Perez,Red Bull,0,0,0,0,18,14,-14,TRUE,FALSE
1,Sakhir,Bahrain Grand Prix,Mattijs,Ricciardo,McLaren,0,0,5,5,14,NA,NA,FALSE,TRUE
1,Sakhir,Bahrain Grand Prix,Ines,Ocon,Alpine,5,0,0,5,7,5,5,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Ines,Magnussen,Haas,0,0,0,0,5,14,14,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Ines,Alonso,Alpine,9,0,0,9,9,1,-1,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Ines,Perez,Red Bull,0,0,0,0,18,12,-12,TRUE,FALSE
1,Sakhir,Bahrain Grand Prix,Ines,Alonso,Alpine,0,0,0,0,9,NA,NA,FALSE,TRUE
1,Sakhir,Bahrain Grand Prix,Filip,Ocon,Alpine,4,0,0,4,7,6,6,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Filip,Magnussen,Haas,0,0,0,0,5,10,10,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Filip,Alonso,Alpine,8,0,0,8,9,2,2,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Filip,Perez,Red Bull,0,0,0,0,18,13,-13,TRUE,FALSE
1,Sakhir,Bahrain Grand Prix,Filip,Hamilton,Mercedes,0,0,3,3,3,NA,NA,FALSE,TRUE
1,Sakhir,Bahrain Grand Prix,Matthias,Ocon,Alpine,1,1,0,2,7,9,9,TRUE,FALSE
1,Sakhir,Bahrain Grand Prix,Matthias,Magnussen,Haas,5,0,0,5,5,5,5,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Matthias,Alonso,Alpine,5,0,0,5,9,5,5,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Matthias,Perez,Red Bull,0,0,0,0,18,13,-13,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Matthias,Norris,McLaren,0,0,0,0,15,NA,NA,FALSE,TRUE
2,Jeddah,Saudi Arabian Grand Prix,Bram,Leclerc,Ferrari,9,0,0,9,2,1,1,FALSE,FALSE
2,Jeddah,Saudi Arabian Grand Prix,Bram,Tsunoda,AlphaTauri,0,0,0,0,19,10,-10,FALSE,FALSE
2,Jeddah,Saudi Arabian Grand Prix,Bram,Hamilton,Mercedes,5,0,0,5,10,5,-5,FALSE,FALSE
2,Jeddah,Saudi Arabian Grand Prix,Bram,Bottas,Alfa Romeo,0,0,0,0,15,11,-11,TRUE,FALSE
2,Jeddah,Saudi Arabian Grand Prix,Bram,Magnussen,Haas,0,0,3,3,9,NA,NA,FALSE,TRUE
2,Jeddah,Saudi Arabian Grand Prix,Dylan,Leclerc,Ferrari,10,10,0,20,2,0,0,TRUE,FALSE
2,Jeddah,Saudi Arabian Grand Prix,Dylan,Tsunoda,AlphaTauri,7,0,0,7,19,3,-3,FALSE,FALSE
2,Jeddah,Saudi Arabian Grand Prix,Dylan,Hamilton,Mercedes,3,0,0,3,10,7,-7,FALSE,FALSE
2,Jeddah,Saudi Arabian Grand Prix,Dylan,Bottas,Alfa Romeo,3,0,0,3,15,7,-7,FALSE,FALSE
